* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 720 
v 0.777778 0.231086 0.333333
v 0.777778 0.222222 0.345786
v 0.825195 0.222222 0.333333
v 0.869277 0.333333 0.333333
v 0.888889 0.261337 0.333333
v 0.888889 0.333333 0.344999
v 0.869277 0.333333 0.333333
v 0.888889 0.349855 0.333333
v 0.888889 0.333333 0.313927
v 0.869277 0.333333 0.333333
v 0.888889 0.333333 0.344999
v 0.888889 0.349855 0.333333
v 0.888889 0.333333 0.313927
v 0.912827 0.333333 0.333333
v 0.888889 0.261337 0.333333
v 0.888889 0.261337 0.333333
v 0.912827 0.333333 0.333333
v 0.888889 0.333333 0.344999
v 0.888889 0.333333 0.313927
v 0.888889 0.349855 0.333333
v 0.912827 0.333333 0.333333
v 0.912827 0.333333 0.333333
v 0.888889 0.349855 0.333333
v 0.888889 0.333333 0.344999
